comunidades_autónomas;periodo;género;trastornos
13 Comunidad de Madrid;2018;mujeres;11,819
13 Comunidad de Madrid;2018;total;8,838
13 Comunidad de Madrid;2019;hombres;6,045
13 Comunidad de Madrid;2019;mujeres;12,676
13 Comunidad de Madrid;2019;total;9,49
13 Comunidad de Madrid;2020;hombres;6,31
13 Comunidad de Madrid;2020;mujeres;13,107
13 Comunidad de Madrid;2020;total;9,838
13 Comunidad de Madrid;2021;hombres;6,523
13 Comunidad de Madrid;2021;mujeres;13,45
13 Comunidad de Madrid;2021;total;10,123
13 Comunidad de Madrid;2022;hombres;6,46944507
13 Comunidad de Madrid;2022;mujeres;13,19797809
13 Comunidad de Madrid;2022;total;9,969483219
13 Comunidad de Madrid;2023;hombres;6,962065925
13 Comunidad de Madrid;2023;mujeres;14,07421626
13 Comunidad de Madrid;2023;total;10,66419596
14 Región de Murcia;2013;hombres;8,062
14 Región de Murcia;2013;mujeres;16,814
14 Región de Murcia;2013;total;12,455
14 Región de Murcia;2014;hombres;8,543
14 Región de Murcia;2014;mujeres;17,798
14 Región de Murcia;2014;total;13,179
14 Región de Murcia;2015;hombres;8,917
14 Región de Murcia;2015;mujeres;18,365
14 Región de Murcia;2015;total;13,643
14 Región de Murcia;2016;hombres;9,105
14 Región de Murcia;2016;mujeres;18,798
14 Región de Murcia;2016;total;13,947
14 Región de Murcia;2017;hombres;9,336
14 Región de Murcia;2017;mujeres;18,975
14 Región de Murcia;2017;total;14,145
14 Región de Murcia;2018;hombres;9,613
14 Región de Murcia;2018;mujeres;19,185
14 Región de Murcia;2018;total;14,388
14 Región de Murcia;2019;hombres;9,749
14 Región de Murcia;2019;mujeres;19,363
14 Región de Murcia;2019;total;14,54
14 Región de Murcia;2020;hombres;9,94
14 Región de Murcia;2020;mujeres;19,702
14 Región de Murcia;2020;total;14,811
14 Región de Murcia;2021;hombres;10,088
14 Región de Murcia;2021;mujeres;19,953
14 Región de Murcia;2021;total;15,007
14 Región de Murcia;2022;hombres;9,794512584
14 Región de Murcia;2022;mujeres;19,37355144
14 Región de Murcia;2022;total;14,56897279
14 Región de Murcia;2023;hombres;10,03930123
14 Región de Murcia;2023;mujeres;19,64222671
14 Región de Murcia;2023;total;14,83120118
15 Comunidad Foral de Navarra;2013;hombres;8,445
15 Comunidad Foral de Navarra;2013;mujeres;17,527
15 Comunidad Foral de Navarra;2013;total;13,023
15 Comunidad Foral de Navarra;2014;hombres;9,267
15 Comunidad Foral de Navarra;2014;mujeres;18,602
15 Comunidad Foral de Navarra;2014;total;13,975
15 Comunidad Foral de Navarra;2015;hombres;9,769
15 Comunidad Foral de Navarra;2015;mujeres;19,343
15 Comunidad Foral de Navarra;2015;total;14,601
15 Comunidad Foral de Navarra;2016;hombres;10,475
15 Comunidad Foral de Navarra;2016;mujeres;20,592
15 Comunidad Foral de Navarra;2016;total;15,585
15 Comunidad Foral de Navarra;2017;hombres;10,642
15 Comunidad Foral de Navarra;2017;mujeres;20,896
15 Comunidad Foral de Navarra;2017;total;15,83
15 Comunidad Foral de Navarra;2018;hombres;10,995
