ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Extremadura;2025-07-01;3404;521
Galicia;2025-07-01;70;69
Comunidad de Madrid;2025-07-01;452;316
Región de Murcia;2025-07-01;9563;5714
Comunidad Foral de Navarra;2025-07-01;96;93
País Vasco;2025-07-01;153;145
La Rioja;2025-07-01;11;6
Ceuta y Melilla;2025-07-01;207;33
Castilla y León;2025-07-01;NA;NA
Andalucía;2025-08-01;31829;28842
Aragón;2025-08-01;4560;289
Principado de Asturias;2025-08-01;7403;4562
Islas Baleares;2025-08-01;3099;1341
Canarias;2025-08-01;6737;3733
Cantabria;2025-08-01;393;192
Castilla y León;2025-08-01;2774;1
Castilla-La Mancha;2025-08-01;4089;548
Cataluña;2025-08-01;42532;11054
Comunidad Valenciana;2025-08-01;15246;8982
Extremadura;2025-08-01;3640;875
Galicia;2025-08-01;97;96
Comunidad de Madrid;2025-08-01;129;97
Región de Murcia;2025-08-01;9834;6565
Comunidad Foral de Navarra;2025-08-01;101;95
País Vasco;2025-08-01;148;143
La Rioja;2025-08-01;11;7
Ceuta y Melilla;2025-08-01;214;33
Castilla y León;2025-08-01;NA;NA
Andalucía;2025-09-01;29762;27208
Aragón;2025-09-01;4474;372
Principado de Asturias;2025-09-01;7257;5351
Islas Baleares;2025-09-01;3441;1450
Canarias;2025-09-01;5628;3494
Cantabria;2025-09-01;452;205
Castilla y León;2025-09-01;2789;2
Castilla-La Mancha;2025-09-01;3458;502
Cataluña;2025-09-01;43892;13529
Comunidad Valenciana;2025-09-01;18440;9419
Extremadura;2025-09-01;3903;1160
Galicia;2025-09-01;112;108
Comunidad de Madrid;2025-09-01;589;264
Región de Murcia;2025-09-01;8728;4904
Comunidad Foral de Navarra;2025-09-01;101;95
País Vasco;2025-09-01;145;139
La Rioja;2025-09-01;12;9
Ceuta y Melilla;2025-09-01;231;35
Castilla y León;2025-09-01;NA;NA
Andalucía;2025-10-01;20256;18507
Aragón;2025-10-01;4383;335
Principado de Asturias;2025-10-01;7109;5645
Islas Baleares;2025-10-01;3388;1468
Canarias;2025-10-01;4602;2800
Cantabria;2025-10-01;277;22
Castilla y León;2025-10-01;3227;325
Castilla-La Mancha;2025-10-01;2710;429
Cataluña;2025-10-01;44863;14176
Comunidad Valenciana;2025-10-01;16756;9122
Extremadura;2025-10-01;4121;1063
Galicia;2025-10-01;149;147
Comunidad de Madrid;2025-10-01;249;194
Región de Murcia;2025-10-01;8162;4018
Comunidad Foral de Navarra;2025-10-01;99;96
País Vasco;2025-10-01;140;135
La Rioja;2025-10-01;11;7
Ceuta y Melilla;2025-10-01;196;31
Castilla y León;2025-10-01;NA;NA
Andalucía;2025-11-01;15617;14900
Aragón;2025-11-01;4093;275
Principado de Asturias;2025-11-01;6671;5972
Islas Baleares;2025-11-01;3164;1475
Canarias;2025-11-01;3205;2075
Cantabria;2025-11-01;411;59
Castilla y León;2025-11-01;3510;1
Castilla-La Mancha;2025-11-01;1828;439
Cataluña;2025-11-01;45084;14372
Comunidad Valenciana;2025-11-01;19142;9506
Extremadura;2025-11-01;3853;956
Galicia;2025-11-01;145;143
Comunidad de Madrid;2025-11-01;149;103
Región de Murcia;2025-11-01;7945;3954
Comunidad Foral de Navarra;2025-11-01;83;79
País Vasco;2025-11-01;142;133
La Rioja;2025-11-01;9;5
Ceuta y Melilla;2025-11-01;168;31
Castilla y León;2025-11-01;NA;NA
Andalucía;2025-12-01;14671;14401
Aragón;2025-12-01;4097;282
Principado de Asturias;2025-12-01;6448;6136
Islas Baleares;2025-12-01;3061;1522
Canarias;2025-12-01;2472;1578
Cantabria;2025-12-01;459;143
Castilla y León;2025-12-01;2653;0
Castilla-La Mancha;2025-12-01;2592;356
Cataluña;2025-12-01;43666;14602
Comunidad Valenciana;2025-12-01;17635;9676
Extremadura;2025-12-01;3373;900
Galicia;2025-12-01;149;147
Comunidad de Madrid;2025-12-01;157;108
Región de Murcia;2025-12-01;7450;4097
Comunidad Foral de Navarra;2025-12-01;84;80
País Vasco;2025-12-01;149;135
La Rioja;2025-12-01;6;4
Ceuta y Melilla;2025-12-01;138;36
Castilla y León;2025-12-01;NA;NA
Andalucía;2026-01-01;17570;15338
Aragón;2026-01-01;4317;384
Principado de Asturias;2026-01-01;5955;5877
Islas Baleares;2026-01-01;3232;1496
Canarias;2026-01-01;3644;1495
Cantabria;2026-01-01;344;98
Castilla y León;2026-01-01;2373;81
